Drug_name, Disease, Clinical_status
T-226296,Obesity,5B81
Targeted ranpirnase conjugates,tumour/cancer,2A00-2F9Z
TGX-6B4,Thrombosis,DB61-GB90
TMC-353121,infection,1C80
TP-023,disorder,6B00-6B0Z
TPT-43,disease,8A20
Trimidox,tumour/cancer,2A00-2F9Z
TTA-A8,Insomnia,7A00-7A0Z
TV-1390,sclerosis,8A40
TZP-202,Dyspepsia,MD92
TZP-301,disorder,5C50-5D2Z
U-99194A,Schizophrenia,6A20
U-99363E,Schizophrenia,6A20
URG-302,bladder,GC50.0
Vaccine, HSV-2 infection,infection,1F00
Viquidacin,infection,1A00-1C4Z
Viraplex,tumour/cancer,2A00-2F9Z
VPM-4-001,cancer,2C82.0
VT-111,transplantation,NE84
XL-388,tumour/cancer,2A00-2F9Z
XL475,diabetes,5A11
XL-499,tumour/cancer,2A00-2F9Z
XP-20925,Migraine,8A80
YM-344031,Asthma,CA23
YM-355179,Asthma,CA23
ZK-thiazolidinone,tumour/cancer,2A00-2F9Z
111In-OC-125 F(ab1/2)-DTPA,cancer,2C73
131I-81C6,cancer,2A00
1D09C3,tumour/cancer,2A00-2F9Z
2164U90,Arteriosclerosis,BD40
21-AMINOEPOTHILONE B,tumour/cancer,2A00-2F9Z
3-DEAZAADENOSINE,Arthritis,FA20
403U76,disorder,6A70.3
443C81,Asthma,CA23
50-235,Hypertension,BA00-BA04
5-HT4/D2 antagonists,Schizophrenia,6A20
A 77636,disease,8A00.0
A-11259,infection,1A00-1C4Z
A-134974,Epilepsy,8A60-8A68
A-204176,incontinence,MF50.20
A-252444.0,Inflammation,1A00-CA43.1
A-364,infection,1A00-1C4Z
A-68552,Obesity,5B81
A-68828,disease,GC2Z
A-68930,Hypertension,BA00-BA04
A-69024,disorder,6A20-6A25
A-70276,disease,DE2Z
A-70826,infection,1A00-1C4Z
A-71623,Obesity,5B81
A-717,complication,5A2Y
A-72055,disease,8A20
A-74273,Hypertension,BA00-BA04
A-74283,Hypertension,BA00-BA04
A-74932,cancer,2C25.0
A-75169,hypertension,9C61
A-75729,infection,1A00-1C4Z
A-76202M,syndrome,1C62.3
A-76895,Epilepsy,8A60-8A68
A-78773,Asthma,CA23
A-79175,Asthma,CA23
A-79296,infection,1F00
A-798,Obesity,5B81
A-80263,Inflammation,1A00-CA43.1
A-81282,Hypertension,BA00-BA04
A-81988,Hypertension,BA00-BA04
A-93178,Allergy,4A80-4A85
AA-861,Allergy,4A80-4A85
AAV-GUS,disease,8E02
ABS-103,disorder,6A60
ABS-205,disorder,8A20-8A23
ABS-212,Pain,MG30-MG3Z
ABS-301,disease,8A20
ABS-401,Amnesia,MB21.1
ABT-100,tumour/cancer,2A00-2F9Z
ABT-702,Pain,MG30-MG3Z
ABT-839,cancer,2C25.Y
ABX-PTH,disease,5A50-5A5Z
AC-187,diabetes,5A11
AC-260584,Schizophrenia,6A20
ACEA-1011,infarction,8B11.5Z
ACEA-1031,ischaemia,8B1Z
ACEA-1328,pain,MG30
ACEA-1416,ischaemia,8B1Z
ACEA-2085,Pain,MG30-MG3Z
Acetyl CoA carboxylase inhibitors, Bayer,infection,1A00-1C4Z
Acteoside,Nephritis,GB40
AD-177,vulgaris,EA90
AD-313,disease,CA22
AD-439,infection,1C62
AD-5075,diabetes,5A11
AD-519,infection,1C62
Ad5-AC6,failure,BD10-BD13
ADCON-I,healing,EL8Y
ADX415,Hypertension,BA00-BA04
AEP-924,disorder,6A70.3
AG-041R,colitis,DD71
AG-1284,infection,1C62
AG-1350,infection,1C62
AG-2024,Arthritis,FA20
AG-3296,tumour/cancer,2A00-2F9Z
AG490,myeloma,2A83
AG490,transplantation,NE84
AH-9700,Pollakiuria,MF50.1
AHR-14042,disorder,6B00-6B0Z
AHR-16303B,Hypertension,BA00-BA04
AHR-16462B,Hypertension,BA00-BA04
AJ-3941,ischaemia,8B1Z
AK-295,infarction,8B11.5Z
AKP-320,diabetes,5A11
AL-0671,Arteriosclerosis,BD40
AL-072,infection,1C19
ALB-127158(a),Obesity,5B81
Albupoietin,Anemia,3A00-3A9Z
Alkylisothioureas,disorder,6B60
Almorexant,Insomnia,7A00-7A0Z
Almorexant,disorder,7A00-7B2Z
ALN-VEG01,degeneration,9B78.3
ALP-242,fibrosis,CA25
ALS-769,tumour/cancer,2A00-2F9Z
ALS-886,syndrome,CB00
ALT-946,complication,5A2Y
Alvameline,disease,8A20
ALX-0625,Migraine,8A80
AM-491,infection,1E51.0
AM-577,Pain,MG30-MG3Z
AM-66,Pain,MG30-MG3Z
AMG-548,Inflammation,1A00-CA43.1
AMG-8562,Pain,MG30-MG3Z
Amitivir,infection,1A24-1D9Z
AMPEROZIDE,dependence,6C40.2
AMR-103,disease,8A00.0
AMT-030,Hyperoxaluria,5C51.2Z
AMT-050,disorder,5C8Z
AMT-070,cirrhosis,DB93.1
AN-10,Alopecia,ED70
AN-1006,tumour/cancer,2A00-2F9Z
ANA-246,infection,1E51.1
Anatumomab mafenatox,cancer,2C60-2C65
AnergiX-IDDM,diabetes,5A10
AnervaX.DB,diabetes,5A10
Anpirtoline,Pain,MG30-MG3Z
Antalarmin,Depression,6A70-6A7Z
Antiarrhythmics,arrhythmia,BC65
Antibiotics,infection,1A00-1C4Z
Anticancer glycosaminoglycans,tumour/cancer,2A00-2F9Z
Antifungals,infection,1F29-1F2F
Antihypercholesterolemics,Hypercholesterolaemia,5C80.0
Anti-IFN gamma,Alopecia,ED70
Anti-MRSA,infection,1F29-1F2F
Antiparasitics,tumour/cancer,2A00-2F9Z
Antova,Thrombocytopenia,3B64
ANX-201,infection,1D82
Anxiolytic,disorder,6B00-6B0Z
AP22408,Osteoporosis,FB83.0
AP-23588,Osteoporosis,FB83.0
APC-6336,infection,1E51.1
APF-580,Pain,MG30-MG3Z
Apolipoprotein E,hypertension,9C61
APT-222,Thrombosis,DB61-GB90
AQ-RA-741,disease,BA00-BE2Z
AR-132,infection,1D82
AR177,infection,1C62
AR-2474,infection,1A00-1C4Z
AR-709,infection,1A00-1C4Z
AR-C-89855,disease,CA22
ARGENT,cancer,2C82.0
Argyrin B,infection,1A00-1C4Z
AR-H050642,arrhythmia,BC65
AS-1405,tumour/cancer,2A00-2F9Z
AS-1406,tumour/cancer,2A00-2F9Z
AS-602305,deficiency,5A81.1
AS-8112,Vomiting,MD90
ASIbcl vaccine,lymphoma,2A86
ASP-0265,Endometriosis,GA10
AstaFactor,tumour/cancer,2A00-2F9Z
Astenose,Arteriosclerosis,BD40
ATLIPROFEN METHYL ESTER,Inflammation,1A00-CA43.1
AUX-202,metastases,2D50
AVE0675,Asthma,CA23
AVE-5997EF,Schizophrenia,6A20
AWD-160-275,disease,BA00-BE2Z
AWD-23-111,arrhythmia,BC65
AWD-72-011,Allergy,4A80-4A85
AX-201,ischaemia,8B1Z
AX-205,disease,8B60
AX-208,disease,8A00.0
AZD-0275,disease,CA22
AZD-0275,arthritis,FA20
AZD-0303,Thrombosis,DB61-GB90
AZD-0902,disease,CA22
AZD-0902,arthritis,FA20
AZD-1134,disorder,6B00-6B0Z
AZD-1283,Thrombosis,DB61-GB90
AZD-2098,Asthma,CA23
AZD-2858,disease,8A20
AZD-2914,disease,CA22
AZD-3118,arrhythmia,BC65
AZD3409,tumour/cancer,2A00-2F9Z
AZD-5106,incontinence,MF50.2
AZD5672,arthritis,FA20
AZD-5745,disease,DE2Z
AZD-6357,Osteoarthritis,FA00-FA05
AZD6482,Thrombosis,DB61-GB90
AZD-6605,Osteoarthritis,FA00-FA05
AZD-6942,arthritis,FA20
AZD-7545,complication,5A2Y
AZD-8294,disorder,5C52.Z
AZD-9139,disease,DE2Z
AZD-9935,tumour/cancer,2A00-2F9Z
AZM-090,complication,5A2Y
AZM-131,Obesity,5B81
AZM-134,diabetes,5A11
AZM-145,complication,5A2Y
B-220,diabetes,5A10
B-428,tumour/cancer,2A00-2F9Z
B-5354a,Arteriosclerosis,BD40
B-581,tumour/cancer,2A00-2F9Z
B-956,tumour/cancer,2A00-2F9Z
BABIM,Asthma,CA23
Bacteriophage,infection,1B5Y
BAICALIN,infection,1C62
Barixibat,Arteriosclerosis,BD40
Barucainide,arrhythmia,BC65
Basal lamina-targeting antiangiogenic agent,tumour/cancer,2A00-2F9Z
BAY-17-1998,Asthma,CA23
BAY-39-9624,Osteoporosis,FB83.0
BAY-44-3428,Asthma,CA23
BAY-50-9062,Osteoporosis,FB83.0
BAY-793,infection,1C62
BAY-Z-4305,infection,1C62
BB-1101,sclerosis,8A40
BB-1433,Arthritis,FA20
BB-2275,infection,1C62
BB-3644,tumour/cancer,2A00-2F9Z
BB-476,Arteriosclerosis,BD40
BB-76163,Inflammation,1A00-CA43.1
BBB-022,ischaemia,8B1Z
BBR 3576,cancer,2C82.0
BCH-150,disease,DE2Z
BCH-2051,tumour/cancer,2A00-2F9Z
BCH-2763,Thrombosis,DB61-GB90
BCH-371,infection,1C62
BCX-140,infection,1E30-1E32
BCX-25,Arthritis,FA20
BDF-9148,failure,BD10-BD13
BE-13793C,tumour/cancer,2A00-2F9Z
BE-16627B,Inflammation,1A00-CA43.1
BE-22179,leukaemia,2A60-2B33
BEA-005,infection,1D82
Befiperide,disorder,6B00-6B0Z
Belaperidone,Schizophrenia,6A20
Benafentrine dimaleate,Sepsis,1G40-1G41
Bepafant,Sepsis,1G40-1G41
Berlafenone,arrhythmia,BC65
Bertosamil,pectoris,BA40
BF-388,Inflammation,1A00-CA43.1
BhCG vaccine,tumour/cancer,2A00-2F9Z
Bi-51013,rejection,NE84
BIBB-515,Arteriosclerosis,BD40
BIBN-140,disease,8A20
BIBN-99,disease,8A20
BIBP 3226,Hypertension,BA00-BA04
BIBS-222,Hypertension,BA00-BA04
BIBS-39,Hypertension,BA00-BA04
BIBU-251,Thrombosis,DB61-GB90
BIBW-22,tumour/cancer,2A00-2F9Z
BIBX-79,Arteriosclerosis,BD40
Bifemelane,disease,8A20
BI-L-357,Asthma,CA23
BILA-2157BS,Hypertension,BA00-BA04
BILD-1263,infection,1F00
BILD-1351,infection,1F00
BILD-1357,infection,1F00
BILD-733,infection,1F00
BIMG80,disorder,6A20-6A25
Bio-Flow,Arteriosclerosis,BD40
Bivatuzumab mertansine,tumour/cancer,2A00-2F9Z
BK-218,infection,1A00-1C4Z
BL-1050,infection,1C62
BL-1825,disease,8A00.0
BL-1872,Pain,MG30-MG3Z
BL-1889,Pruritus,EC90
BL-1893,tumour/cancer,2A00-2F9Z
BlockAide/CR,infection,1C62
BM-13.1180,complication,5A2Y
BM-13.1188,complication,5A2Y
BM-13.1196,complication,5A2Y
BM-13677,complication,5A2Y
BM-17.0505,complication,5A2Y
BMS-180560,Hypertension,BA00-BA04
BMS-181184,infection,1F29-1F2F
BMS-181885,Migraine,8A80
BMS-182193,infection,1C62
BMS-182566,tumour/cancer,2A00-2F9Z
BMS-182657,disease,BA00-BE2Z
BMS-182874,Hypertension,BA00-BA04
BMS-183729,ischaemia,8B1Z
BMS-185857,tumour/cancer,2A00-2F9Z
BMS-186318,infection,1C62
BMS-189664,infarction,BA41-BA43
BMS-210285,diabetes,5A11
BMS-433771,infection,1C80
BMS-605339,infection,1E51.1
BMY-22089,Hyperlipidaemia,5C80
BMY-40062,infection,1A00-1C4Z
BN-50726,injury,ND56.4
BN50739,infarction,8B11.5Z
BN52021,Sepsis,1G40-1G41
BN-58705,Inflammation,1A00-CA43.1
BN-80245,tumour/cancer,2A00-2F9Z
BOF-12013,infection,1A00-1C4Z
BP4.879a,Schizophrenia,6A20
BQ-518,Hypertension,BA00-BA04
BRL 26830A,Obesity,5B81
BRL-42715,infection,1A00-1C4Z
BRL-44385,infection,1A24-1D9Z
BTA-188,infection,CA07
BTS-79018,Schizophrenia,6A20
BU-4514N,disease,8A20
BU-4601A,Asthma,CA23
BVF-247,disease,BA00-BE2Z
BVT-142,diabetes,5A11
BVT-24834,Obesity,5B81
BVT-3498,disorder,5C50-5D2Z
BW A4C,Arthritis,FA20
BW B70C,Asthma,CA23
BW-1003C87,ischaemia,8B1Z
BW755C,Inflammation,1A00-CA43.1
BW-A502U,tumour/cancer,2A00-2F9Z
BX-044,Thrombosis,DB61-GB90
C-202,Epilepsy,8A60-8A68
C-AFG,infection,1A24-1D9Z
Calcium-dependent lipopeptide antibiotics,infection,1B74-1G40
CAN-296,infection,1F29-1F2F
CB-102930,infection,1A00-1C4Z
CB-1267,cancer,2C82.0
CB-28,skin,EE40
CB-30865,tumour/cancer,2A00-2F9Z
CBH-11,infection,1E51.1
CBR-2092,infection,1A00-1C4Z
CCR5 receptor inhibitors,infection,1C62
CCR5Qb,infection,1C62
CD-832,pectoris,BA40
CDE-5110,Inflammation,1A00-CA43.1
CDE-5498,arrhythmia,BC65
CDE-6960,Inflammation,1A00-CA43.1
CDP-492,Vomiting,MD90
CDP-845,tumour/cancer,2A00-2F9Z
CDP-855,diabetes,5A10
CEB-925,Hypercholesterolaemia,5C80.0
CEDO-8956,Hypertension,BA00-BA04
CEE-03-320,disorder,6C4Z
CEE-04-421,Pain,MG30-MG3Z
CEP-4186,leukaemia,2A60
CEP-427,disease,8A20
CEP-431,disease,8A20
CEP-5214,tumour/cancer,2A00-2F9Z
CEP-751,disorder,8A20-8A23
Cepacidine A,infection,1F29-1F2F
Cetamolol,pectoris,BA40
CFC-240,infection,1A00-1C4Z
CG-8840,cancer,2C94
CGP-25454A,disorder,6A70.3
CGP-35348,Epilepsy,8A60-8A68
CGP-40215A,pneumonia,CA40.20
CGP-43371,Arteriosclerosis,BD40
CGP-47969A,diabetes,5A10
CGP-52411,tumour/cancer,2A00-2F9Z
CGP-53716,tumour/cancer,2A00-2F9Z
CGP-60474,tumour/cancer,2A00-2F9Z
CGP-70726,infection,1C62
CGS-12066B,disorder,6B00-6B0Z
CGS-13080,Asthma,CA23
CGS-17867A,dependence,6C40.2
CGS-18102A,disorder,6B00-6B0Z
CGS-23425,Arteriosclerosis,BD40
CGS-24565,Arteriosclerosis,BD40
CGS-26393,disease,BA41-BA42
CGS-26529,Inflammation,1A00-CA43.1
CGS-30440,Hypertension,BA00-BA04
CGS-32359,Inflammation,1A00-CA43.1
CGX-1160,pain,MG30-MG31
CHF-1522,diabetes,5A11
CHIR-29498,infection,1A00-1C4Z
Chlamydia vaccine,infection,1A81
Cholazol,Arteriosclerosis,BD40
CI-1002,disease,8A20
CI-933,impairment,6D71
CI-986,arthritis,FA20
CI-992,Hypertension,BA00-BA04
CI-996,Hypertension,BA00-BA04
CI-999,Arteriosclerosis,BD40
Cilofungin,Candidiasis,1F23
Ciprokiren,Hypertension,BA00-BA04
CK-2289,failure,BD10-BD13
CL-184005,Sepsis,1G40-1G41
CL-186659,infection,1A00-1C4Z
CL-329753,tumour/cancer,2A00-2F9Z
CL-387626,infection,1A24-1D9Z
Clentiazem,pectoris,BA40
Clinafloxacin,Pneumonia,CA40
CLR-901,disorder,6B60
CLX-0301,complication,5A2Y
CLX-0900,Hyperlipidaemia,5C80
CM-101,tumour/cancer,2A00-2F9Z
CM-2359,disease,8A00-8E7Z
CM-2397,Pain,MG30-MG3Z
CMB-401,cancer,2C60-2C65
CMI-206,Inflammation,1A00-CA43.1
CMLVAX100,leukaemia,2A60-2B33
CNI-H0294,infection,1C62
CNS-1067,Epilepsy,8A60-8A68
CNS-1237,ischaemia,8B1Z
CNS-1307,Schizophrenia,6A20
CNS-1531,disease,8A00-8E7Z
CNS-5788,ischaemia,8B1Z
Co-111732,Epilepsy,8A60-8A68
Co-122739,disorder,6B00-6B0Z
Co-152791,Epilepsy,8A60-8A68
Co-2-1068,Epilepsy,8A60-8A68
Co-60549,disorder,6B00-6B0Z
Cordil,arrhythmia,BC65
CP-0597,Asthma,CA23
CP-111905,infection,1A00-1C4Z
CP-230821,Arteriosclerosis,BD40
CP-331,Pain,MG30-MG3Z
CP-471358,tumour/cancer,2A00-2F9Z
CP-663427,tumour/cancer,2A00-2F9Z
CP-67015,infection,1A00-1C4Z
CP-79328,tumour/cancer,2A00-2F9Z
CP-83101,Arteriosclerosis,BD40
CP-903397,Schizophrenia,6A20
CR-2991,Hypertension,BA00-BA04
CR-3124,disorder,6C4Z
CR-3834,Hypertension,BA00-BA04
CRA-028129,disorder,EA90
CRL-1018,infection,1B10-1B21
Cromoglicate,rhinitis,CA08.0
CRx-189,disease,DD72
CS-204,disorder,5C50-5D2Z
CS-207,disease,BA00-BE2Z
CS-461,infection,1A00-1C4Z
CT-1746,cancer,2B91.Z
CT-2408R,Shock,MG40
CT-2412,tumour/cancer,2A00-2F9Z
CT-3501,disease,BA80
CTA-002,tumour/cancer,2A00-2F9Z
CV 6209,Asthma,CA23
CVP S aureus vaccine,infection,1B5Y
CVS-3083,tumour/cancer,2A00-2F9Z
CVS-995,infarction,BA41-BA43
CVT-1,Hypercholesterolaemia,5C80.0
CY-1747,disease,BA00-BE2Z
CY-1748,thrombosis,BD71
CY-9652,Inflammation,1A00-CA43.1
CYC-103,tumour/cancer,2A00-2F9Z
CYC-700 series,tumour/cancer,2A00-2F9Z
CYT-017-IL17Qb,sclerosis,8A40
Cytovaxine,infection,1B92
CZ-112,tumour/cancer,2A00-2F9Z
D-20450,Inflammation,1A00-CA43.1
D-21151,Inflammation,1A00-CA43.1
D-21775,tumour/cancer,2A00-2F9Z
D-21805,tumour/cancer,2A00-2F9Z
D-22888,Allergy,4A80-4A85
D-26344,tumour/cancer,2A00-2F9Z
D2A21,infection,1A00-1C4Z
D-43787,Allergy,4A80-4A85
D-5410,arthritis,FA20
D-9120,disease,DD72
DAA-1097,disorder,6B00-6B0Z
Dacetuzumab,lymphoma,2A81
Dacetuzumab,lymphoma,2B33.5
DACTIMICIN,infection,1A00-1C4Z
Daniplestim,Osteoporosis,FB83.0
DARGLITAZONE,complication,5A2Y
Darodipine,ischaemia,8B1Z
Datelliptium chloride,cancer,2C60-2C65
DAU-6285,Vomiting,MD90
DB-200,vulgaris,EA90
DBO-11,pain,MG30
DBO-17,pain,MG30
DC-756,infection,1A00-1C4Z
DDG-39,syndrome,1C62.3
DES-6,infection,1D82
Desferrithiocin,intoxication,NE60
DHP-218,Hypertension,BA00-BA04
Diabetes (type I) vaccine,diabetes,5A10
Dianicline+rimonabant,dependence,6C4A.2
Diaspirin crosslinked hemoglobin,ischaemia,8B1Z
DIAVERIDINE,infection,1A00-1C4Z
DIO-901,diabetes,5A10
Diphtheria/tetanus vaccine,infection,1A04
DISC GM-CSF,Melanoma,2C30
DIZOCILPINE,ischaemia,8B1Z
DLX-0110,pain,8E43.0
DMP-696,disorder,6B00-6B0Z
DMP-811,Hypertension,BA00-BA04
DMP-963,infection,1C62
DMPDDF,tumour/cancer,2A00-2F9Z
DNP-004089,disease,8A20
Dotarizine,Migraine,8A80
Doxorubicin-CEA conjugate,cancer,2C60-2C65
DPC-333,disease,DD72
DPC-333,arthritis,FA20
DPC-A78277,infection,1C62
DPI-201-106,disease,BA00-BE2Z
Draculin,Thrombosis,DB61-GB90
Droxinavir hydrochloride,infection,1C62
DSP-7238,complication,5A2Y
Du-123015,disorder,6B00-6B0Z
DU-1777,Hypertension,BA00-BA04
Dual Pgp/MRP1 inhibitors, Xenova,tumour/cancer,2A00-2F9Z
Dual-action antibiotics,infection,1A00-1C4Z
DuP 714,Thrombosis,DB61-GB90
DuP-129,Hypercholesterolaemia,5C80.0
DuP-630,Dermatitis,EA80-EA89
DuP-983,Pruritus,EC90
DV-7021,disease,DB90-BD99
DV-7028,disease,BA00-BE2Z
DW-1350,Osteoporosis,FB83.0
DW-2282,tumour/cancer,2A00-2F9Z
E-0722,cataract,9B10.21
E-2011,disorder,6B00-6B0Z
E-2040,Schizophrenia,6A20
E-2050,ischaemia,8B1Z
E-2070,pain,8E43.0
E-4080,pectoris,BA40
E-5110,Inflammation,1A00-CA43.1
E-5842,Schizophrenia,6A20
E-6276,Schizophrenia,6A20
EBV-related Hodgkin's disease vaccine,lymphoma,2B30
EC-154,tumour/cancer,2A00-2F9Z
EC-708,cancer,2C82.0
Ecalcidene,vulgaris,ED80
Ecomustine,tumour/cancer,2A00-2F9Z
ED-001,infection,1E51.1
ED-110,tumour/cancer,2A00-2F9Z
Edaglitazone,diabetes,5A11
EF-27,syndrome,NF00
EFIPLADIB,Asthma,CA23
EHT-1864,disease,8A20
EK-399,Inflammation,1A00-CA43.1
EL-715,Osteoporosis,FB83.0
Elmustine,tumour/cancer,2A00-2F9Z
EM-2487,infection,1C62
Emeriamine,complication,5A2Y
Emopamil,ischaemia,8B1Z
Endixaprine,disorder,6B00-6B0Z
Endovion,tumour/cancer,2A00-2F9Z
Enloplatin,leukaemia,2A82.0
ENT-102,Pain,MG30-MG3Z
ENT-103,Pain,MG30-MG3Z
Enterococcus faecalis conjugate vaccine,infection,1D01.0Y
Enterotoxigenic E Coli vaccine,infection,1A03
EP-012637,Asthma,CA23
EP-2060,tumour/cancer,2A00-2F9Z
EP-3533,infarction,BA41-BA43
EPD-clofarabine,tumour/cancer,2A00-2F9Z
EPICOAT cancer vaccine,tumour/cancer,2A00-2F9Z
Epiroprim,infection,1A00-1C4Z
Epocarbazolin-A,Asthma,CA23
EPTALOPROST,tumour/cancer,2A00-2F9Z
ER-34122,Inflammation,1A00-CA43.1
ERIC-1,tumour/cancer,2A00-2F9Z
ERTIPROTAFIB,diabetes,5A11
ES-1005,Hypertension,BA00-BA04
Etomoxir,failure,BD10-BD13
Etrabamine,disease,8A00.0
EUK-207,disorder,8A20-8A23
EUK-418,syndrome,NF00
EXP-6803,Hypertension,BA00-BA04
External guide sequence oligozyme,leukaemia,2A60.0
F-12509A,Arteriosclerosis,BD40
F-12682,disorder,6A70.3
F-14413,disease,8A20
F-200,disease,1F00.1Z
F-2833,Arteriosclerosis,BD40
F-3796,disease,8A20
F-50003,infection,1D9Y
F-992,incontinence,MF50.2
Fananserin,Schizophrenia,6A20
FAV-201,Lymphoma,2A80-2A86
FCE-20696,infection,1B10-1B21
FCE-24265,Thrombosis,DB61-GB90
FCE-25876,disorder,6A70.3
FD-891,tumour/cancer,2A00-2F9Z
Fenspiride hydrochloride,Asthma,CA23
FH-510,disorder,6A20-6A25
FK-355,Asthma,CA23
Florifenine,Inflammation,1A00-CA43.1
Flosequinan,disease,BA00-BE2Z
Flosulide,Pain,MG30-MG3Z
Fluoratec,disorder,6A05.Z
FM-TP4000,diabetes,5A11
Fosfluridine tidoxil,Keratosis,ED56
FPL-55712,Asthma,CA23
FR-111142,Arthritis,FA20
FR-113680,Asthma,CA23
FR-115427,ischaemia,8B1Z
FR-118487,tumour/cancer,2A00-2F9Z
FR-121196,disease,8A20
FR-123826,arthritis,FA20
FR-128998,Thrombocytopenia,3B64
FR-129169,Arteriosclerosis,BD40
FR-133605,Arthritis,FA20
FR-144420,pectoris,BA40
FR-145237,Arteriosclerosis,BD40
FR-149581,Hypertension,BA00-BA04
FR-152558,disease,8A20
FR-171113,Thrombosis,DB61-GB90
FR-172357,Inflammation,1A00-CA43.1
FR-180102,infection,DA42-DA63
FR-182877,tumour/cancer,2A00-2F9Z
FR-183998,Hypertension,BA00-BA04
FR-194738,Hypercholesterolaemia,5C80.0
FR-208419,Dyspepsia,MD92
FR-229934,dysfunction,HA01.1
FR-62765,complication,5A2Y
FR-76830,pectoris,BA40
FR-900482,leukaemia,2A60-2B33
FR-901379,pneumonia,CA40.20
FR-901469,infection,1F29-1F2F
Fradafiban,Thrombosis,DB61-GB90
FRG-8701,ulcer,DA60.Z
GA-FSH,infertility,GA31.Z
Garenoxacin,Endocarditis,BB40-BA42
GCC-AP0341,Asthma,CA23
GDC-0834,arthritis,FA20
GE-20372A,infection,1C62
GE-68,arrhythmia,BC65
GEM-132,retinitis,9B72.00
Gene therapy, IFN-alpha, PINC,cancer,2D42
Genevx,pectoris,BA40
Genimune,diabetes,5A10
Gepirone ER,Depression,6A70-6A7Z
GI-129471,Inflammation,1A00-CA43.1
GI-197111,Alopecia,ED70
GI-248573,disease,DC11-DC1Z
GI-270384X,disease,DD72
Girisopam,disorder,6B00-6B0Z
GK-128,Vomiting,MD90
GLI-5021,ischaemia,8B1Z
GLY-515n,ischaemia,8B1Z
Glycogen synthase kinase-3 inhibitors,diabetes,5A11
Glyfoline,tumour/cancer,2A00-2F9Z
GM-7050,Inflammation,1A00-CA43.1
GMC-283,Schizophrenia,6A20
GM-CSF-expressing oncolytic adenovirus,tumour/cancer,2A00-2F9Z
GNI-104,infection,1E51.1
GNI-105,infection,1A9Y
GP-683,Pain,MG30-MG3Z
Gpi-1046,disease,8A00.0
GPI-1337,disorder,8A20-8A23
GPI-16552,ischaemia,8B1Z
GPI-2138,addiction,6C45.2
GPI-3000,ischaemia,8B1Z
GR-127935,disorder,6A70.3
GR-131663,disorder,6B00-6B0Z
GR-133347,disorder,6B00-6B0Z
GR-144053,Thrombosis,DB61-GB90
GR-159897,disorder,6B00-6B0Z
GR-199114X,ulcer,DA60.Z
GR-233548,Thrombosis,DB61-GB90
GR-65630,Vomiting,MD90
GR-82334,Vomiting,MD90
GR-89696,disorder,8A20-8A23
GR-94839,Pain,MG30-MG3Z
GR-95168,infection,1A24-1D9Z
Grass allergy vaccine,rhinitis,CA08.0
Group B streptococcal vaccine,infection,1A00-1C4Z
GS-2992,infection,1C62
GS-3435,infection,1E30-1E32
GS-438,tumour/cancer,2A00-2F9Z
GS-522,Thrombosis,DB61-GB90
GS-9148,infection,1C62
GS-9160,infection,1C62
GSK-2485852,infection,1E51.1
GSK406725,Epilepsy,8A60-8A68
GSK-923295,tumour/cancer,2A00-2F9Z
GT-16-239,Arteriosclerosis,BD40
GT-2016,disease,8A20
GT-2203,disorder,6B00-6B0Z
GT-2342,disorder,8A20-8A23
GT-4001,disease,8A20
GVX-3322,infection,1D82
GW-275175,infection,1A24-1D9Z
GW-278884,cancer,2B91.Z
GW-3600,Asthma,CA23
GW-660511,Hypertension,BA00-BA04
GW-974,cancer,2C60-2C65
GYKI-52466,disease,8A20
H pylori vaccine,infection,DA42-DA63
H-216/44,hypertension,9C61
HBV vaccine,infection,1E51.0
HCG contraceptive vaccine,Contraception,QA21
Helicobacter vaccine,infection,DA42-DA63
Hementin,Thrombosis,DB61-GB90
Heparin-EGF-like factor,disease,DE2Z
Hepatitis C virus E2 protein vaccines,infection,1E51.1
Hepatitis delta antigen,infection,1E51.2
Herzyme,cancer,2C60-2C65
HF-0699,ischaemia,8B1Z
Hirufaxin,Thrombosis,DB61-GB90
HIV vaccine,infection,1C62
HMR-3787,infection,1A00-1C4Z
HMR-4004,infection,1A00-1C4Z
HNK-20,infection,1C80
Hoe-33342,tumour/cancer,2A00-2F9Z
HOE-694,arrhythmia,BC65
Hormone-dependent vaccine,cancer,2C82.0
Hormone-independent vaccine,hyperplasia,GA90
House dust mite allergy vaccine,rhinitis,CA08.0
HRC-101,transfusion,QB98
HRC-102,injury,ND56.Z
HRC-201,cancer,2C12
HT-90B,disorder,6B00-6B0Z
Hu Dreg 55,vulgaris,EA90
HuCD40L,tumour/cancer,2A00-2F9Z
Human chorionic gonadotropin,disease,BA41-BA42
Human Cytomegalovirus vaccine,infection,1D82
HuMax-HepC,infection,1E51.1
HuMax-TAC,diabetes,5A10
Huntingtons disease therapy,disease,8A01.10
HydrocoDex,Pain,MG30-MG3Z
ICA-1,tumour/cancer,2A00-2F9Z
ICI-164384,cancer,2C60-2C65
ICI-169369,disorder,6B00-6B0Z
ICI-181037,arrhythmia,BC65
ICI-198615,Asthma,CA23
ICI-D-1542,disease,BA00-BE2Z
ICM-3,disease,4B24
IDD-5,cancer,2B91.Z
IDRA-21,disease,8A20
IGE-026,rhinitis,CA08.0
IGN-311,tumour/cancer,2A00-2F9Z
IGN-312,tumour/cancer,2A00-2F9Z
IL1aQb,Arteriosclerosis,BD40
